stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
23326,23326,W. Capitol at Northport WB,W. Capitol at Northpoint,38.5785936376169,-121.561956330058,0,1
23324,23324,W. Capitol at Roadway WB,W. Capitol at Roadway,38.5782731205361,-121.566740813406,0,1
23322,23322,W. Capitol at Interstate Co. WB,W. Capitol at Interstate Co.,38.5770077608744,-121.571282863919,0,1
23278,23278,W. Capitol at Enterprise WB,W. Capitol at Enterprise,38.5754274235624,-121.576184998497,0,1
23561,23561,Mace at 2nd St. NB,,38.5563404608317,-121.694028068257,0,1
23114,23114,Alhambra at Carcia,,38.5580373083854,-121.702877246874,0,1
22069,22069,5th St & Pelz Bike Path (WB),,38.5548060639672,-121.709323108196,0,1
22238,22238,5th St & Spafford (WB),,38.5533200330932,-121.713569248038,0,1
22072,22072,5th St & Cantrill/Greystone (WB),,38.5514659364942,-121.721505358273,0,1
22074,22074,5th St & Post Office / Pole Line Rd (WB),,38.5492298045098,-121.724867331297,0,1
22077,22077,5th St & Pole Line Rd/D.M.V (WB),,38.5488087793618,-121.727751569024,0,1
22029,22029,5th St at I St. ,,38.5479945224535,-121.737657636408,0,0
23110,23110,5th St. at D St. WB,Downtown Davis,38.5469684259762,-121.743426111862,0,1
23208,23208,Russell at A St.WB,Russell at A St.,38.5463187431908,-121.747169560085,0,1
23360,23360,Russell at California WB,Russell at California,38.5463417663933,-121.753844115146,0,1
23130,23130,Anderson at Russell NB,,38.5471810547968,-121.758642859249,0,1
23132,23132,Anderson at Sunset NB,,38.5491746740254,-121.758621468117,0,1
23126,23126,Anderson at Amherst NB,,38.55250096739,-121.758571555474,0,1
23136,23136,Anderson at Villanova NB,,38.5564348843764,-121.758482425755,0,1
23127,23127,Anderson at Hanover NB,,38.5594569677918,-121.758468165,0,1
23155,23155,W. Covell at Sycamore WB,,38.5609690498058,-121.764653724742,0,1
23616,23616,Park at Webster SB,Park at Webster Southbound,38.575400994954,-121.526510808321,0,1
23444,23444,Park at Hughes SB,,38.5680702252254,-121.533085016436,0,1
23447,23447,Park at Stone SB,,38.5638665415372,-121.536889072867,0,1
23614,23614,Jefferson at Gateway SB,Jefferson at Gateway southbound,38.5567562400153,-121.532953642042,0,1
23315,23315,Jefferson at Lake Washington SB,Jefferson at Lake Washington,38.5520518305691,-121.538106711634,0,1
23462,23462,Jefferson at N. Linden SB,,38.5497041881148,-121.540260085658,0,1
23356,23356,Jefferson at Higgins SB,Jefferson at Higgins,38.5464223789249,-121.543319017634,0,1
23464,23464,Jefferson at S. Linden SB,,38.539239239078,-121.550021572545,0,1
23318,23318,Marshall at Rivermont,,38.5351493705401,-121.557312492924,0,1
23524,23524,Marshall at Seymour,"38.53519137793792, -121.56255127265578",38.5351559050664,-121.562558949878,0,1
23590,23590,Southport Pkwy at Marshall,,38.5359107575363,-121.57605404115,0,1
23591,23591,Southport Pkwy at Oakland Bay,Southport Pkwy at Oakland Bay (Northbound Farside),38.5397800443159,-121.576031998808,0,1
23592,23592,Southport Pkwy at Promenade,Southport Pkwy at Promenade (Northbound Nearside),38.5449846711746,-121.570112947828,0,1
1434,1434,Y Street & 45th,UC Davis Medical Center,38.5525002212823,-121.452880290322,0,1
1811,1811,Stockton Blvd & Colonial Way (NB),,38.5554050538185,-121.458494154125,0,1
1435,1435,Mondavi Center,Mondavi Center (Mrak Hall & Old Davis Road),38.534455659059,-121.748439624813,0,1
23010,23010,UC Davis Health Sciences SB,UC Davis Health Sciences,38.535099389261,-121.764382676147,0,1
1453,1453,Silo at UC Davis,Silo at UC Davis (Hutchison Drive & California Way),38.5392138981351,-121.7538442763,0,1
23514,23514,Sacramento at Jefferson WB,Sacramento at Jefferson,38.5897341637797,-121.527774395892,0,1
23435,23435,Sacramento at Todhunter WB,Sacramento at Todhunter,38.5903404344347,-121.533616484157,0,1
23436,23436,Sacramento at Bryte WB,Sacramento at Bryte,38.5906386046136,-121.536514982638,0,1
23266,23266,Solano at Sacramento NB,Solano at Sacramento,38.5913714849307,-121.539939652306,0,1
23234,23234,Hobson at Water,,38.5921302162683,-121.541110322779,0,1
23271,23271,Water at Lisbon,,38.5945854243389,-121.542313190836,0,1
23254,23254,Lisbon at Bryte,,38.5955456948021,-121.538987746899,0,1
23227,23227,Anna at Bryte EB,,38.5941656586031,-121.537663581232,0,1
23422,23422,Anna at Todhunter EB,,38.5951272305922,-121.534098925239,0,1
23425,23425,Anna at Holland EB,,38.5962711928052,-121.529575379466,0,1
23515,23515,Cummins at Kegle EB,,38.5942461248783,-121.525833697667,0,1
23516,23516,Cummins at Hardy EB,Cummins at Hardy,38.5940167959939,-121.522865833215,0,1
23517,23517,Cummins at Fairway EB,Cummins at Fairway,38.5937981959461,-121.521100939578,0,1
23518,23518,Douglas at Cummins NB,,38.5944553371939,-121.519545258257,0,1
23429,23429,Lighthouse at Douglas EB,Lighthouse at Douglas,38.5954812822033,-121.519120128102,0,1
23431,23431,Lighthouse at Fountain EB,Lighthouse at Fountain,38.5952506122142,-121.515071333353,0,1
23519,23519,Sacramento at Douglas,,38.5892259181392,-121.523808036047,0,1
23593,23593,Promenade at Golden Gate,Promenade at Golden Gate (Southbound Nearside),38.5433896598881,-121.567629997641,0,1
23229,23229,Golden Gate at Tortola,,38.5402913678933,-121.572266239095,0,1
23467,23467,Southport Pkwy at Oakland Bay SB,,38.5383208671941,-121.576284095724,0,1
23465,23465,Jefferson at S. Linden NB,,38.5397049379816,-121.549294274033,0,1
23523,23523,Jefferson at Higgins NB,Jefferson at Higgins,38.5468211113993,-121.542641631765,0,1
23463,23463,Jefferson at N. Linden NB,,38.5497571642649,-121.539853654138,0,1
23314,23314,Jefferson at Lake Washington NB,Jefferson at Lake Washington,38.5520574068257,-121.53767888898,0,1
23238,23238,Jefferson at Gateway,,38.5566502979903,-121.532725469959,0,1
23262,23262,Park at Stone NB,,38.5637215825413,-121.536750030505,0,1
23258,23258,Park at 17th NB,,38.5682458379592,-121.53272136718,0,1
23615,23615,Park at Webster NB,Park at Webster Northbound,38.5752755698226,-121.526289766617,0,1
23386,23386,3rd St. at Capitol Mall SB,,38.5791282495769,-121.504443367694,0,1
23535,23535,3rd St. at O St.,,38.5775634476506,-121.505159322938,0,1
23389,23389,5th St. at P St.,,38.5756123244503,-121.502880366814,0,1
23531,23531,5th St. at O St.,,38.5766608134042,-121.502421550426,0,1
23388,23388,5th St. at N St.,,38.5780916213822,-121.501766098443,0,1
23406,23406,H St. at 11th St.,,38.581983514266,-121.490892288866,0,1
23407,23407,H St. at 14th St.,,38.5808715057074,-121.48666040978,0,1
23415,23415,15th St. at K St.,,38.5764952645597,-121.487506269664,0,1
23414,23414,15th St. at N St.,,38.5742981638668,-121.488426926355,0,1
